#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2024-12-18T13:27:50 [V7.4.3]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2024-12-18T13:27:51	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=9999&-source=J/ApJ/890/46/table2&-order=I&-out=TIC&-out=DatePk&-out=FluxPk&-out=Energy&-out=Duration&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.4.3	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_18900046
#Name: J/ApJ/890/46
#Title: Superflares on solar-type stars from TESS first year (Tu+, 2020)
#INFO	ivoid=ivo://cds.vizier/j/apj/890/46	    IVOID of underlying data collection
#INFO	creator=Tu Z.-L.	    First author or institution
#INFO	cites=bibcode:2020ApJ...890...46T	    Article or Data origin sources
#INFO	editor=Astrophysical Journal (AAS)	    Editor name (article)
#INFO	original_date=2020	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/890/46	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.18900046	    Dataset identifier that can be used for citation
#INFO	publication_date=2021-09-29	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_890_46_table2:
#Name: J/ApJ/890/46/table2
#Title: Superflares
#Column	TIC	(I9)	[737327/468899939] TESS identifier	[ucd=meta.id;meta.main]
#Column	DatePk	(F9.4)	[1325.58/1681.99] Date of superflares' peak	[ucd=time.epoch]
#Column	FluxPk	(E8.1)	[1.29e+31/7.9e+33] Peak Flux (1)	[ucd=phot.flux.density;em.opt]
#Column	Energy	(E8.1)	[4.75e+33/1.8e+37] Superflare energy	[ucd=phys.energy]
#Column	Duration	(F8.2)	[480/15960] Superflare duration	[ucd=time.duration]
TIC	DatePk	FluxPk	Energy	Duration
 	d	10-7W	10-7J	s
---------	---------	--------	--------	--------
 79403675	1343.6906	 4.1e+31	 3.1e+34	 2279.95
 79403675	1349.9057	 3.3e+31	 2.6e+35	15959.54
139233425	1333.8503	 3.9e+31	 2.5e+34	 1320.03
147302016	1327.7118	 7.9e+31	 4.9e+34	 1800.01
147302016	1332.2674	 2.1e+31	 4.8e+33	  480.00
147302016	1332.2910	 6.9e+31	 1.1e+35	 3360.01
161175809	1352.8835	 1.0e+32	 5.5e+34	 1439.98
214772274	1327.9727	 3.8e+31	 5.2e+34	 3360.10
302116397	1327.9028	 2.6e+32	 2.6e+35	 3120.05
302116397	1331.9334	 1.2e+32	 1.9e+35	 3240.05
302116397	1333.8459	 1.9e+32	 2.0e+35	 3000.02
302116397	1341.5918	 9.8e+31	 1.1e+35	 2999.98
302116397	1346.0334	 9.8e+31	 7.2e+34	 1919.98
403121294	1332.1302	 9.8e+31	 9.6e+34	 3479.97
403121294	1335.4524	 6.3e+31	 5.9e+34	 2159.97
 12359032	1357.6549	 5.4e+31	 6.4e+34	 1680.03
 12359032	1377.1578	 7.2e+31	 1.0e+35	 2159.98
 12393800	1357.9924	 1.9e+32	 4.0e+35	 3720.07
 20891744	1374.6567	 1.2e+32	 3.4e+35	 5520.00
 70742059	1362.9925	 7.5e+31	 9.8e+34	 2160.02
 70744192	1367.0231	 1.1e+32	 5.1e+34	  720.01
102032397	1354.2355	 9.4e+31	 9.3e+34	 2400.05
102032397	1370.8371	 1.3e+32	 9.2e+34	 1440.00
102032397	1359.1217	 1.6e+32	 2.0e+35	 2760.03
102032397	1368.9968	 3.0e+32	 2.3e+35	 3120.02
204322922	1371.7429	 4.9e+31	 3.0e+34	 1079.98
206592394	1354.9515	 4.1e+31	 3.7e+34	 1680.02
206592394	1369.4627	 2.7e+31	 3.3e+34	 3359.99
206592394	1370.9668	 5.7e+31	 6.1e+34	 3719.98
206592394	1375.5807	 2.9e+31	 3.8e+34	 3119.97
206592394	1378.8959	 5.6e+31	 2.8e+34	 1199.99
206592394	1378.9654	 5.3e+31	 4.6e+34	 2519.97
