#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2024-12-18T13:28:59 [V7.4.3]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2024-12-18T13:28:59	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=1000&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/ApJ/890/46/table1&-order=I&-out=TIC&-out=Teff&-out=logg&-out=Rad&-out=Per&-out=Nfl&-out=Nset&-out=Freq&-out=Flag&-out=Simbad&Simbad=Simbad&-out=_RA&-out=_DE&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.4.3	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_18900046
#Name: J/ApJ/890/46
#Title: Superflares on solar-type stars from TESS first year (Tu+, 2020)
#INFO	ivoid=ivo://cds.vizier/j/apj/890/46	    IVOID of underlying data collection
#INFO	creator=Tu Z.-L.	    First author or institution
#INFO	cites=bibcode:2020ApJ...890...46T	    Article or Data origin sources
#INFO	editor=Astrophysical Journal (AAS)	    Editor name (article)
#INFO	original_date=2020	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/890/46	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.18900046	    Dataset identifier that can be used for citation
#INFO	publication_date=2021-09-29	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	J_ApJ_890_46_table1:
#Name: J/ApJ/890/46/table1
#Title: Flare stars
#Column	TIC	(I9)	[737327/468899939] TESS identifier	[ucd=meta.id;meta.main]
#Column	Teff	(I4)	[5103/5998] Effective temperature	[ucd=phys.temperature.effective]
#Column	logg	(F5.2)	[4/4.71] log surface gravity	[ucd=phys.gravity]
#Column	Rad	(F5.2)	[0.69/1.7] Stellar radius	[ucd=phys.size.radius]
#Column	Per	(F5.2)	[0.14/25.5] Stellar rotational period	[ucd=time.period]
#Column	Nfl	(I2)	[1/63] Number of flares (1)	[ucd=meta.number]
#Column	Nset	(I2)	[1/13] Number of Set-n (2)	[ucd=meta.number]
#Column	Freq	(F6.2)	[1.19/233.2] Flare frequency, f*, deduced by Equ. 9 (N_*flares_/{tau}*) (3)	[ucd=em.freq;src.var]
#Column	Flag	(a5)	Flare star flag (4)	[ucd=meta.code.error]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
TIC	Teff	logg	Rad	Per	Nfl	Nset	Freq	Flag	Simbad	_RA	_DE
 	K	[cm/s2]	Rsun	d	 	 	yr-1	 	 	deg	deg
---------	----	-----	-----	-----	--	--	------	-----	------	---------	---------
 79403675	5541	 4.53	 0.89	 3.40	 2	 1	 27.16	     	Simbad	320.20816	-53.03421
139233425	5775	 4.50	 0.95	 5.81	 1	 1	 13.58	     	Simbad	346.89554	-43.92041
147302016	5513	 4.55	 0.87	 5.36	 3	 1	 40.74	     	Simbad	325.09993	-47.85458
161175809	5441	 4.32	 1.12	 1.60	 1	 1	 13.58	     	Simbad	340.36149	-52.28134
214772274	5535	 4.43	 0.99	 3.17	 1	 1	 13.58	     	Simbad	341.63946	-39.47921
302116397	5531	 4.39	 1.05	 0.95	 5	 1	 67.93	     	Simbad	322.54472	-24.19203
403121294	5488	 4.23	 1.24	 1.53	 2	 1	 27.16	     	Simbad	324.31486	-65.03874
 12359032	5471	 4.51	 0.90	 2.32	 2	 1	 27.98	     	Simbad	000.44363	-29.77743
 12393800	5571	 4.19	 1.31	 1.03	 1	 1	 13.99	     	Simbad	001.32666	-29.50157
 20891744	5155	 4.19	 1.24	 1.54	 1	 1	 13.99	     	Simbad	001.20630	-21.69839
 70742059	5357	 4.52	 0.88	 0.72	 1	 1	 13.99	     	Simbad	000.37664	-30.21900
 70744192	5304	 4.24	 1.19	 5.96	 1	 1	 13.99	     	Simbad	000.64775	-30.11721
102032397	5435	 4.33	 1.10	 3.70	 4	 1	 55.95	     	Simbad	016.15866	-46.86043
204322922	5634	 4.49	 0.94	 5.27	 1	 1	 13.99	     	Simbad	346.60646	-23.16731
206592394	5597	 4.54	 0.88	 3.43	 8	 1	111.91	     	Simbad	020.83856	-57.48075
313891046	5107	 4.56	 0.80	 0.41	 2	 1	 27.98	     	Simbad	000.34509	-29.84351
314865597	5155	 4.37	 1.01	 0.63	 2	 1	 27.98	     	Simbad	052.98244	-72.32912
322051377	5339	 4.56	 0.83	 2.54	 1	 1	 13.99	     	Simbad	013.85541	-49.94926
164752884	5276	 4.57	 0.81	 3.62	 2	 1	 38.00	     	Simbad	025.80970	-21.61977
344319320	5318	 4.46	 0.94	 6.76	 1	 1	 19.00	     	Simbad	013.62386	-14.64235
 29939923	5386	 4.18	 1.31	 2.74	 1	 1	 19.00	     	Simbad	025.11900	-16.10929
 23193695	5785	 4.56	 0.89	 4.47	 2	 1	 32.54	     	Simbad	047.26528	-07.06546
 36828969	5761	 4.28	 1.21	 1.01	 2	 1	 32.54	     	Simbad	042.09240	-11.28674
 36831287	5182	 4.56	 0.81	 2.54	 1	 1	 16.27	GM   	Simbad	042.34963	-10.78520
 38402758	5472	 4.42	 1.00	 1.08	 6	 1	 97.62	     	Simbad	054.42289	-06.99190
 65416676	5593	 4.44	 0.99	 0.64	 1	 1	 16.27	     	Simbad	041.11011	-26.99773
 89187590	5256	 4.46	 0.92	 1.09	 2	 1	 32.54	     	Simbad	057.57548	-24.80951
 92347098	5234	 4.48	 0.90	 3.93	 5	 1	 81.34	     	Simbad	051.43761	-20.70677
