#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-01-13T12:50:16 [V7.4.3]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-01-13T12:50:16	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=200&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/AJ/162/192/table2&-order=I&-out=TIC&-out=Obs&-out=Sep&-out=PA&-out=Con&-out=MinSep&-out=Con0.15&-out=Con1&-out=Simbad&Simbad=Simbad&-out=_RA&-out=_DE&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.4.3	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_51620192
#Name: J/AJ/162/192
#Title: SOAR TESS survey. II. Impact of stellar companions (Ziegler+, 2021)
#INFO	ivoid=ivo://cds.vizier/j/aj/162/192	    IVOID of underlying data collection
#INFO	creator=Ziegler C.	    First author or institution
#INFO	cites=bibcode:2021AJ....162..192Z	    Article or Data origin sources
#INFO	editor=Astronomical Journal (AAS)	    Editor name (article)
#INFO	original_date=2021	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/162/192	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.51620192	    Dataset identifier that can be used for citation
#INFO	publication_date=2022-03-14	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	J_AJ_162_192_table2:
#Name: J/AJ/162/192/table2
#Title: SOAR speckle observations and resolved binary properties of known eclipsing binaries
#Column	TIC	(I9)	TESS Input Catalog number	[ucd=meta.id;meta.main]
#Column	Obs	(F7.4)	[19/20] Decimal year of the observation	[ucd=time.epoch]
#Column	Sep	(F7.4)	[0.04/4.44]? Angular separation	[ucd=pos.angDistance]
#Column	PA	(F5.1)	[10/359]? Position angle	[ucd=pos.posAng]
#Column	Con	(F4.1)	[0/7.4]? I band contrast magnitude	[ucd=phot.mag;arith.diff]
#Column	MinSep	(F6.3)	[0.03/0.17] Minimum separation	[ucd=pos.angDistance;src.orbital]
#Column	Con0.15	(F5.2)	[1.29/3.41] I band contrast mag at 0.15arcsec	[ucd=phot.mag;arith.diff]
#Column	Con1	(F5.2)	[2.01/6.14] I band contrast magnitude at 1arcsec	[ucd=phot.mag;arith.diff]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	_RA	(F9.5)	Position from SIMBAD (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Position from SIMBAD (declination part)	[ucd=pos.eq.dec;meta.main]
TIC	Obs	Sep	PA	Con	MinSep	Con0.15	Con1	Simbad	_RA	_DE
 	yr	arcsec	deg	mag	arcsec	mag	mag	 	deg	deg
---------	-------	-------	-----	----	------	-----	-----	------	---------	---------
219406747	19.2063	       	     	    	 0.064	 3.10	 5.47	Simbad	078.81024	-53.09301
389669796	19.2063	       	     	    	 0.109	 2.05	 2.93	Simbad	086.89946	-69.36653
149975922	19.2064	       	     	    	 0.085	 2.47	 3.95	Simbad	090.34821	-63.98459
350862394	19.2091	       	     	    	 0.064	 2.92	 5.57	Simbad	090.54488	-57.02846
149989242	19.2065	       	     	    	 0.064	 2.80	 5.24	Simbad	090.62230	-61.71326
350954272	19.2090	       	     	    	 0.064	 2.81	 5.07	Simbad	090.85222	-55.47260
141712167	19.2013	 1.4175	296.5	 1.6	 0.068	 2.62	 4.64	Simbad	090.88174	-72.76459
141757920	19.2063	       	     	    	 0.097	 2.12	 3.45	Simbad	091.63601	-73.02255
150100627	19.2065	 0.1077	108.8	 1.9	 0.064	 2.07	 5.03	Simbad	091.91540	-61.69612
 41232835	19.2064	       	     	    	 0.075	 2.32	 4.02	Simbad	091.98049	-66.36026
150101472	19.2065	 0.1289	 84.4	 0.0	 0.100	 1.70	 2.85	Simbad	092.10582	-63.25442
260128333	19.2091	       	     	    	 0.081	 2.38	 4.37	Simbad	092.13320	-59.54113
 41259805	19.2064	       	     	    	 0.067	 2.83	 4.51	Simbad	092.12201	-71.11997
141806292	19.2063	 0.0456	 10.0	 0.0	 0.102	 1.76	 3.15	Simbad	092.25521	-73.10529
260131665	19.2090	       	     	    	 0.039	 3.41	 6.14	Simbad	092.57462	-54.96864
260160453	19.2091	       	     	    	 0.064	 2.96	 5.64	Simbad	092.70812	-59.80056
260161144	19.2091	 1.9519	 41.0	 1.5	 0.064	 3.04	 5.28	Simbad	092.78525	-58.28778
260162387	19.2090	       	     	    	 0.066	 2.82	 4.92	Simbad	092.82478	-55.55109
 41364284	19.2064	       	     	    	 0.064	 2.78	 5.47	Simbad	092.83910	-69.76028
150145456	19.2091	 0.4125	 87.4	 2.1	 0.054	 2.09	 4.80	Simbad	092.95826	-60.84293
150145456	19.2091	 0.4125	 87.4	 2.1	 0.054	 2.09	 4.80	Simbad	092.95826	-60.84293
150145456	19.2091	 0.1119	124.6	 1.6	 0.054	 2.09	 4.80	Simbad	092.95826	-60.84293
150145456	19.2091	 0.1119	124.6	 1.6	 0.054	 2.09	 4.80	Simbad	092.95826	-60.84293
260188537	19.2091	 0.1973	217.4	 2.7	 0.064	 2.36	 5.47	Simbad	093.09048	-59.77842
150162739	19.2064	       	     	    	 0.071	 2.21	 3.78	Simbad	093.24744	-65.77025
150165657	19.2091	       	     	    	 0.064	 3.14	 5.46	Simbad	093.26845	-60.46267
150166721	19.2065	       	     	    	 0.064	 2.80	 5.27	Simbad	093.50487	-61.47320
 41483281	19.2064	       	     	    	 0.090	 2.06	 3.54	Simbad	093.55085	-70.19888
150187916	19.2065	       	     	    	 0.064	 2.82	 5.58	Simbad	         	
260305166	19.2091	       	     	    	 0.064	 3.07	 5.54	Simbad	094.52611	-57.92836
260304277	19.2090	       	     	    	 0.064	 2.77	 5.53	Simbad	094.61965	-56.99996
166969346	19.2064	       	     	    	 0.067	 2.49	 4.32	Simbad	094.64900	-66.17374
166969516	19.2064	       	     	    	 0.105	 1.80	 3.04	Simbad	094.67383	-66.36529
260353507	19.2090	       	     	    	 0.064	 2.94	 5.58	Simbad	094.76640	-53.97336
167007869	19.2064	       	     	    	 0.064	 2.82	 5.14	Simbad	094.80508	-67.59814
260352274	19.2090	 2.3243	209.2	 2.0	 0.064	 2.82	 5.15	Simbad	094.84292	-56.56951
167008868	19.2064	 2.2949	278.3	 2.0	 0.063	 2.64	 5.17	Simbad	095.03782	-66.55341
167009792	19.2064	 1.9533	284.8	 2.8	 0.068	 2.79	 4.63	Simbad	095.10168	-66.40070
150320620	19.2065	       	     	    	 0.064	 3.18	 5.71	Simbad	095.75606	-63.68313
150357290	19.2064	       	     	    	 0.095	 1.95	 3.25	Simbad	096.16155	-64.05795
260474813	19.2090	       	     	    	 0.064	 2.85	 5.48	Simbad	096.27428	-55.72527
167163906	19.2063	       	     	    	 0.162	 1.29	 2.01	Simbad	096.32327	-71.36231
150360766	19.2065	       	     	    	 0.064	 2.82	 5.49	Simbad	096.35350	-62.42266
150361803	19.2064	 0.6299	123.8	 1.8	 0.121	 1.62	 2.58	Simbad	096.34980	-64.38736
167163980	19.2063	       	     	    	 0.097	 2.00	 3.24	Simbad	096.50886	-71.43054
260502102	19.2091	       	     	    	 0.072	 2.69	 5.05	Simbad	096.51599	-59.01617
150429807	19.2065	       	     	    	 0.070	 2.71	 4.49	Simbad	097.06091	-62.52906
167205241	19.2063	       	     	    	 0.064	 2.70	 5.04	Simbad	097.34875	-71.50662
150442264	19.2065	       	     	    	 0.064	 2.87	 5.72	Simbad	097.79433	-61.87954
167304218	19.2064	       	     	    	 0.064	 2.76	 5.34	Simbad	097.81412	-67.58089
260640910	19.2091	 2.4521	228.7	 3.3	 0.064	 2.92	 5.55	Simbad	097.99296	-58.75384
293224065	19.2091	       	     	    	 0.064	 2.92	 5.37	Simbad	098.26076	-61.04210
142082796	19.2063	       	     	    	 0.085	 2.27	 3.74	Simbad	098.27230	-72.52579
293268667	19.2065	       	     	    	 0.064	 3.03	 5.07	Simbad	098.56016	-63.91811
167339584	19.2064	       	     	    	 0.064	 2.69	 5.35	Simbad	098.54074	-68.47697
167344197	19.2064	 0.1384	348.5	 2.0	 0.064	 1.99	 5.08	Simbad	         	
167344197	19.2064	 0.1384	348.5	 2.0	 0.064	 1.99	 5.08	Simbad	         	
167344197	19.2064	 4.4322	174.0	 7.4	 0.064	 1.99	 5.08	Simbad	         	
167344197	19.2064	 4.4322	174.0	 7.4	 0.064	 1.99	 5.08	Simbad	         	
293345927	19.2091	       	     	    	 0.064	 2.80	 5.26	Simbad	098.96296	-61.10310
278683641	19.2091	       	     	    	 0.064	 3.05	 5.29	Simbad	099.24557	-58.46017
176931266	19.2064	       	     	    	 0.064	 3.02	 5.27	Simbad	100.26097	-70.65124
375088647	19.2065	       	     	    	 0.134	 1.66	 2.44	Simbad	100.33138	-63.84320
167526485	19.2091	 0.7385	192.6	 4.8	 0.064	 2.88	 5.40	Simbad	100.51389	-60.67028
176934407	19.2064	       	     	    	 0.064	 2.85	 5.07	Simbad	100.53849	-66.09423
176958076	19.2064	       	     	    	 0.069	 2.56	 4.25	Simbad	101.21739	-66.61579
167554898	19.2091	 0.7928	112.3	 3.8	 0.064	 2.73	 5.35	Simbad	101.31580	-61.09151
167574282	19.2091	       	     	    	 0.064	 2.70	 5.14	Simbad	101.39569	-61.32053
167602738	19.2091	       	     	    	 0.064	 2.67	 5.53	Simbad	101.84544	-61.21502
167602025	19.2065	 0.7377	132.2	 0.0	 0.134	 1.69	 2.40	Simbad	102.06279	-62.53801
279053000	19.2091	       	     	    	 0.064	 2.83	 5.48	Simbad	102.14971	-58.46730
177022232	19.2064	       	     	    	 0.064	 2.66	 5.35	Simbad	102.43307	-67.68307
279088163	19.2090	       	     	    	 0.064	 2.74	 5.25	Simbad	102.72158	-55.91100
167692429	19.2065	       	     	    	 0.147	 1.56	 2.15	Simbad	102.71603	-63.43111
167691903	19.2065	       	     	    	 0.079	 2.57	 4.03	Simbad	102.77296	-62.94756
177035603	19.2064	 0.0618	 23.9	 2.0	 0.064	 2.73	 5.05	Simbad	102.77273	-68.71487
177077475	19.2064	 0.2324	 94.4	 2.6	 0.107	 1.86	 3.06	Simbad	103.20677	-70.43031
167722437	19.2065	       	     	    	 0.064	 2.71	 5.44	Simbad	103.30150	-61.65142
177082055	19.2064	       	     	    	 0.064	 2.69	 5.38	Simbad	103.54723	-68.15806
